C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,0,0,32886.21,NA,0,59412.34,NA,30565.91
2024,P02,0,0,33013.79,NA,3281.60,47772.49,NA,5582.12
2024,P03,0,0,32984.48,NA,0,59970.66,NA,1835.52
2024,P04,0,0,33216.53,NA,0,27290.78,NA,11249.83
2024,P05,0,0,32984.48,NA,644.83,90218.47,NA,10139.57
2024,P06,0,0,33084.48,NA,1165.91,67505.90,NA,14875.52
2024,P07,0,52626.80,32984.48,NA,1431.96,84319.64,NA,4597.29
2024,P08,0,10589.89,33073.43,NA,0,69172.75,NA,5287.04
2024,P09,0,0,32599.14,NA,1530.53,102161.09,NA,41982.18
2024,P10,0,0,32660.06,NA,0,61618.75,NA,15001.71
2024,P11,0,0,32517.24,NA,0,77094.59,NA,9219.14
2024,P12,0,0,32645.69,NA,4413.38,84102.66,NA,25631.79
,,,,,,,,,
,,,,,,,,,
