C601,C602,C101,C102,C103,R004-0101
2023,P04,P101,P02,P02,185
2023,P04,P108,P02,P02,7863
2023,P04,XXX,P02,P02,79
2023,P04,P201,P01,P02,1721621
2023,P04,P201,P02,P02,174727
2023,P04,P207,P01,P02,65676
2023,P04,P301,P01,P02,2443725
2023,P04,P301,P02,P02,58535
2023,P05,P101,P02,P02,178
2023,P05,P108,P02,P02,8065
2023,P05,XXX,P02,P02,78
2023,P05,P201,P01,P02,1750679
2023,P05,P201,P02,P02,178866
2023,P05,P207,P01,P02,67932
2023,P05,P301,P01,P02,2449518
2023,P05,P301,P02,P02,59189
2023,P06,P101,P02,P02,172
2023,P06,P108,P02,P02,8283
2023,P06,XXX,P02,P02,78
2023,P06,P201,P01,P02,1787631
2023,P06,P201,P02,P02,182331
2023,P06,P207,P01,P02,66426
2023,P06,P301,P01,P02,2450484
2023,P06,P301,P02,P02,59514
