C601,C602,C002,C205,R008-0201
2024,P10,P03003,P015,315
2024,P11,P03003,P015,315
2024,P12,P03003,P015,315
2024,P10,P05018,P015,345
2024,P11,P05018,P015,345
2024,P12,P05018,P015,340
2024,P10,P05030,P015,655
2024,P11,P05030,P015,596
2024,P12,P05030,P015,594
2024,P10,P05035,P015,302
2024,P11,P05035,P015,302
2024,P12,P05035,P015,299
2024,P10,P07101,P015,600
2024,P11,P07101,P015,586
2024,P12,P07101,P015,548
2024,P10,P08037,P015,600
2024,P11,P08037,P015,599
2024,P12,P08037,P015,594
2024,P10,P09015,P015,3959
2024,P11,P09015,P015,3947
2024,P12,P09015,P015,3934
2024,P10,P10005,P015,1025
2024,P11,P10005,P015,1025
2024,P12,P10005,P015,1022
2024,P10,P14039,P015,1595
2024,P11,P14039,P015,1590
2024,P12,P14039,P015,1583
2024,P10,P14067,P015,277
2024,P11,P14067,P015,270
2024,P12,P14067,P015,266
2024,P10,P19039,P015,2831
2024,P11,P19039,P015,2804
2024,P12,P19039,P015,2782
2024,P10,P25012,P015,800
2024,P11,P25012,P015,800
2024,P12,P25012,P015,798
2024,P10,P28038,P015,31
2024,P11,P28038,P015,31
2024,P12,P28038,P015,31
2024,P10,P30044,P015,248
2024,P11,P30044,P015,248
2024,P12,P30044,P015,240
2024,P10,P30087,P015,380
2024,P11,P30087,P015,380
2024,P12,P30087,P015,363
2024,P10,P30193,P015,289
2024,P11,P30193,P015,289
2024,P12,P30193,P015,260
