C601,C602,R008-0101,R008-0102,R008-0103,R008-0104,R008-0105,R008-0106,R008-0107
2024,P10,17101,2381637.5,17290.5,1539,NA,NA,15416
2024,P11,16148.5,2274261,16005,1443.5,NA,NA,14757
2024,P12,16748,2247913.5,17858.5,1632,NA,NA,14129
