C501,C502,R003-0501,R003-0502,R003-0503
2025,P01,"ALTAN REDES, S.A.P.I. DE C.V.",0,NA
2025,P01,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",0,NA
2025,P01,"AXTEL, S.A.B. DE C.V.",0,NA
2025,P01,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",0,NA
2025,P01,"CONVERGIA DE MEXICO, S.A. DE C.V.",0,NA
2025,P01,"DIRECTO TELECOM, S.A. DE C.V.",0,NA
2025,P01,"MAXCOM TELECOMUNICACIONES, S.A. DE C.V.",0,NA
2025,P01,"MEGA CABLE, S.A. DE C.V.",0,NA
2025,P01,"MEGACABLE COMUNICACIONES DE MÉXICO, S.A. DE C.V.",0,NA
2025,P01,"MEXICO RED DE TELECOMUNICACIONES, S. DE R.L. DE C.V.",0,NA
2025,P01,"OPERBES, S.A. DE C.V.",0,NA
2025,P01,"PEGASO PCS, S.A. DE C.V.",0,NA
2025,P01,PROTEL I-NEXT. S.A. DE C.V.,0,NA
2025,P01,"RADIOMOVIL DIPSA, S.A. DE C.V.",0,NA
2025,P01,"SERVNET MEXICO, S.A. DE C.V.",0,NA
2025,P01,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",0,NA
2025,P01,"TELEFONOS DEL NOROESTE,  S.A. DE C.V.",0,NA
2025,P01,"TELEVISION INTERNACIONAL, S.A. DE C.V.",0,NA
2025,P01,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V.",0,NA
2025,P01,"TV REY DE OCCIDENTE, S.A. DE CV.",0,NA
2025,P01,"UC TELECOMUNICACIONES, S.A.P.I. DE C.V.",0,NA
