C501,C502,C001,C102,R003-0101
2025,P01,P01001,P02,1
2025,P01,P02001,P02,5
2025,P01,P02002,P02,2
2025,P01,P02004,P02,2
2025,P01,P03008,P02,4
2025,P01,P04003,P02,18
2025,P01,P07002,P02,1
2025,P01,P07005,P02,12
2025,P01,P07065,P02,1
2025,P01,P07089,P02,13
2025,P01,P07094,P02,1
2025,P01,P07117,P02,1
2025,P01,P08005,P02,1
2025,P01,P09003,P02,1
2025,P01,P09004,P02,2
2025,P01,P09005,P02,4
2025,P01,P09007,P02,2
2025,P01,P09010,P02,2
2025,P01,P09012,P02,1
2025,P01,P09014,P02,10
2025,P01,P09015,P02,7
2025,P01,P10007,P02,1
2025,P01,P10018,P02,1
2025,P01,P11020,P02,3
2025,P01,P12063,P02,1
2025,P01,P13008,P02,1
2025,P01,P13048,P02,1
2025,P01,P14023,P02,1
2025,P01,P14063,P02,1
2025,P01,P14097,P02,2
2025,P01,P15057,P02,7
2025,P01,P15104,P02,6
2025,P01,P15121,P02,1
2025,P01,P19018,P02,1
2025,P01,P19019,P02,3
2025,P01,P19046,P02,2
2025,P01,P23005,P02,1
2025,P01,P24009,P02,1
2025,P01,P24020,P02,1
2025,P01,P25006,P02,1
2025,P01,P30028,P02,1
