C601,C602,R001-0101,R001-0102,R001-0103,R001-0104,R001-0105,R001-0106,R001-0107,R001-0108,R001-0109
2024,P10,NA,NA,NA,12112874.30,NA,NA,14357716.02,NA,NA
2024,P11,NA,NA,NA,5592066.7,NA,NA,8540026.14,NA,NA
2024,P12,NA,NA,NA,3297985.35,NA,NA,18633845.11,NA,NA
