C601,C602,R001-0701,R001-0702,R001-0703,R001-0704,R001-0705,R001-0706,R001-0707,R001-0708,R001-0709,R001-0710,R001-0711,R001-0712
2024,P10,7735908.42,NA,3237573.21,NA,NA,NA,NA,NA,NA,NA,707952.90,431439.77
2024,P11,842483.82,NA,3110135.97,NA,NA,NA,NA,NA,NA,NA,1061538.27,577908.64
2024,P12,1227263.97,NA,3537617.91,NA,NA,NA,NA,NA,NA,NA,577814.54,-2044711.07
