C601,C602,C003,C006,C101,C102,C103,R001-0501
2022,P10,XXX,NA,P101,P02,P02,194
2022,P10,XXX,NA,P108,P01,P02,58
2022,P10,XXX,NA,P108,P02,P02,6583
2022,P10,XXX,NA,P115,P02,P02,99
2022,P10,XXX,NA,P201,P01,P02,1569745
2022,P10,XXX,NA,P201,P02,P02,150327
2022,P10,XXX,NA,P207,P01,P02,45622
2022,P10,XXX,NA,P301,P01,P02,2449277
2022,P10,XXX,NA,P301,P02,P02,55165
2022,P11,XXX,NA,P101,P02,P02,191
2022,P11,XXX,NA,P108,P01,P02,10
2022,P11,XXX,NA,P108,P02,P02,6897
2022,P11,XXX,NA,P115,P02,P02,97
2022,P11,XXX,NA,P201,P01,P02,1585895
2022,P11,XXX,NA,P201,P02,P02,154455
2022,P11,XXX,NA,P207,P01,P02,48777
2022,P11,XXX,NA,P301,P01,P02,2458735
2022,P11,XXX,NA,P301,P02,P02,56083
2022,P12,XXX,NA,P101,P02,P02,195
2022,P12,XXX,NA,P108,P01,P02,4
2022,P12,XXX,NA,P108,P02,P02,7177
2022,P12,XXX,NA,P115,P02,P02,96
2022,P12,XXX,NA,P201,P01,P02,1607496
2022,P12,XXX,NA,P201,P02,P02,158078
2022,P12,XXX,NA,P207,P01,P02,53445
2022,P12,XXX,NA,P301,P01,P02,2453698
2022,P12,XXX,NA,P301,P02,P02,56569
