C601,C602,R012-0301,R012-0302,R012-0303,R012-0304
Desagregador por Año ,Desagregador por Mes ,"Accesos con servicios habilitados de voz y datos, con facturación de telefonía y de datos ","Accesos con servicios habilitados de voz y datos, con facturación de datos exclusivamente ","Accesos con servicios habilitados de voz y datos, con facturación de telefonía exclusivamente ",Accesos con servicios habilitados de datos exclusivamente a los que se les haya facturado servicios 
2024,P01," 10,224 "," 10,224 "," 10,224 "," 10,224 "
2024,P02," 12,814 "," 12,814 "," 12,814 "," 12,814 "
2024,P03," 16,455 "," 16,455 "," 16,455 "," 16,455 "
2024,P04," 17,983 "," 17,983 "," 17,983 "," 17,983 "
2024,P05," 20,736 "," 20,736 "," 20,736 "," 20,736 "
2024,P06," 21,686 "," 21,686 "," 21,686 "," 21,686 "
2024,P07," 23,006 "," 23,006 "," 23,006 "," 23,006 "
2024,P08," 25,150 "," 25,150 "," 25,150 "," 25,150 "
2024,P09," 27,445 "," 27,445 "," 27,445 "," 27,445 "
2024,P10," 31,415 "," 31,415 "," 31,415 "," 31,415 "
2024,P11," 33,606 "," 33,606 "," 33,606 "," 33,606 "
2024,P12," 35,359 "," 35,359 "," 35,359 "," 35,359 "
