C601,C602,C103,R012-0101,R012-0102
2024,P01,P01,"10,224",NA
2024,P02,P01,"12,814",NA
2024,P03,P01,"16,455",NA
2024,P04,P01,"17,983",NA
2024,P05,P01,"20,736",NA
2024,P06,P01,"21,686",NA
2024,P07,P01,"23,006",NA
2024,P08,P01,"25,150",NA
2024,P09,P01,"27,445",NA
2024,P10,P01,"31,415",NA
2024,P11,P01,"33,606",NA
2024,P12,P01,"35,359",NA
