C601,C602,R012-0501
2024,P01," 215,004 "
2024,P02," 271,649 "
2024,P03," 346,604 "
2024,P04," 372,211 "
2024,P05," 390,080 "
2024,P06," 392,375 "
2024,P07," 420,509 "
2024,P08," 451,869 "
2024,P09," 477,664 "
2024,P10," 540,048 "
2024,P11," 568,449 "
2024,P12," 599,001 "
