C601,C602,C003,C006,C101,C102,C103,R001-0501
2021,P10,XXX,NA,P101,P02,P02,214
2021,P10,XXX,NA,P108,P01,P02,2277
2021,P10,XXX,NA,P108,P02,P02,4402
2021,P10,XXX,NA,P115,P02,P02,104
2021,P10,XXX,NA,P201,P01,P02,1109543
2021,P10,XXX,NA,P201,P02,P02,99427
2021,P10,XXX,NA,P207,P01,P02,45717
2021,P10,XXX,NA,P301,P01,P02,2011673
2021,P10,XXX,NA,P301,P02,P02,39870
2021,P11,XXX,NA,P101,P02,P02,218
2021,P11,XXX,NA,P108,P01,P02,2257
2021,P11,XXX,NA,P108,P02,P02,4415
2021,P11,XXX,NA,P115,P02,P02,111
2021,P11,XXX,NA,P201,P01,P02,1142722
2021,P11,XXX,NA,P201,P02,P02,102835
2021,P11,XXX,NA,P207,P01,P02,44881
2021,P11,XXX,NA,P301,P01,P02,2057899
2021,P11,XXX,NA,P301,P02,P02,40919
2021,P12,XXX,NA,P101,P02,P02,201
2021,P12,XXX,NA,P108,P01,P02,2245
2021,P12,XXX,NA,P108,P02,P02,4427
2021,P12,XXX,NA,P115,P02,P02,104
2021,P12,XXX,NA,P201,P01,P02,1182692
2021,P12,XXX,NA,P201,P02,P02,106206
2021,P12,XXX,NA,P207,P01,P02,44095
2021,P12,XXX,NA,P301,P01,P02,2106819
2021,P12,XXX,NA,P301,P02,P02,42353
