C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,173.28,8490.52,NA,NA,NA,NA,NA,146489.46
2024,P02,NA,170.69,8363.80,NA,NA,NA,NA,NA,24072.42
2024,P03,NA,206.90,10137.93,NA,NA,NA,NA,NA,79763.05
2024,P04,NA,224.14,10982.76,NA,NA,NA,NA,NA,21411.87
2024,P05,NA,257.76,12630.18,NA,NA,NA,NA,NA,0
2024,P06,NA,294.83,14446.56,NA,NA,NA,NA,NA,29595.00
2024,P07,NA,413.79,20275.88,NA,NA,NA,NA,NA,10600.00
2024,P08,NA,477.59,23401.74,NA,NA,NA,NA,NA,0
2024,P09,NA,538.79,26400.87,NA,NA,NA,NA,NA,0
2024,P10,NA,586.21,28724.14,NA,NA,NA,NA,NA,0
2024,P11,NA,689.66,33793.10,NA,NA,NA,NA,NA,57796.00
2024,P12,NA,681.03,33370.70,NA,NA,NA,NA,NA,0
