C601,C602,C101,R002-0501
2024,P01,P108,6
2024,P02,P108,7
2024,P03,P108,5
2024,P04,P108,8
2024,P05,P108,7
2024,P06,P108,6
2024,P07,P108,7
2024,P08,P108,6
2024,P09,P108,7
2024,P10,P108,6
2024,P11,P108,8
2024,P12,P108,7
2024,P01,P114,20
2024,P02,P114,19
2024,P03,P114,20
2024,P04,P114,21
2024,P05,P114,20
2024,P06,P114,26
2024,P07,P114,24
2024,P08,P114,25
2024,P09,P114,27
2024,P10,P114,24
2024,P11,P114,23
2024,P12,P114,22
2024,P01,P207,9
2024,P02,P207,10
2024,P03,P207,11
2024,P04,P207,12
2024,P05,P207,10
2024,P06,P207,10
2024,P07,P207,10
2024,P08,P207,9
2024,P09,P207,10
2024,P10,P207,11
2024,P11,P207,10
2024,P12,P207,8
