C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,"1,071,873",NA,NA,NA,NA,"228,708","47,204","4,616"
2024,P02,"1,135,760",NA,NA,NA,NA,"242,340","50,018","4,891"
2024,P03,"1,100,267",NA,NA,NA,NA,"234,767","48,455","4,738"
2024,P04,"1,235,139",NA,NA,NA,NA,"263,544","54,394","5,319"
2024,P05,"1,206,745",NA,NA,NA,NA,"257,486","53,144","5,196"
2024,P06,"1,235,139",NA,NA,NA,NA,"263,544","54,394","5,319"
2024,P07,"1,220,942",NA,NA,NA,NA,"260,515","53,769","5,258"
2024,P08,"1,220,942",NA,NA,NA,NA,"260,515","53,769","5,258"
2024,P09,"1,178,351",NA,NA,NA,NA,"251,428","51,894","5,074"
2024,P10,"1,192,548",NA,NA,NA,NA,"254,457","52,519","5,135"
2024,P11,"1,178,351",NA,NA,NA,NA,"251,428","51,894","5,074"
2024,P12,"1,220,942",NA,NA,NA,NA,"260,515","53,769","5,258"
,,,,,,,,,
