C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024_2024,P201060001,NO,SÍ,NO,NO
2024_2024,P202210003,NO,SÍ,NO,NO
2024_2024,P204860001,NO,SÍ,NO,NO
2024_2024,P204860002,NO,SÍ,NO,NO
2024_2024,P204860005,NO,SÍ,NO,NO
2024_2024,P204860006,NO,SÍ,NO,NO
2024_2024,P204860007,NO,SÍ,NO,NO
2024_2024,P204860010,NO,SÍ,NO,NO
2024_2024,P205400003,NO,SÍ,NO,NO
2024_2024,P205400007,NO,SÍ,NO,NO
2024_2024,P205470001,NO,SÍ,NO,NO
2024_2024,P205470002,NO,SÍ,NO,NO
2024_2024,P205470004,NO,SÍ,NO,NO
2024_2024,P205560001,NO,SÍ,NO,NO
