C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,1893,NA,NA,NA,2552,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,1790,NA,NA,NA,2675,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,1730,NA,NA,NA,2730,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,1710,NA,NA,NA,2896,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,1659,NA,NA,NA,3081,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,1549,NA,NA,NA,3013,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,1564,NA,NA,NA,3001,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,1488,NA,NA,NA,2966,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,1551,NA,NA,NA,2860,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,1541,NA,NA,NA,2807,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,1488,NA,NA,NA,2746,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,1419,NA,NA,NA,2761,NA,NA,NA
