C501,C502,C001,C101,C102,R001-0301
2025,P01,P01001,P112,P01,1657
2025,P01,P01001,P165,P01,90
2025,P01,P01004,P112,P01,14
2025,P01,P01004,P165,P01,1
2025,P01,P01005,P112,P01,227
2025,P01,P01005,P165,P01,12
2025,P01,P01006,P165,P01,1
2025,P01,P01007,P165,P01,1
2025,P01,P01008,P165,P01,0
2025,P01,P01009,P165,P01,0
2025,P01,P01011,P165,P01,1
2025,P01,P02001,P112,P01,731
2025,P01,P02001,P165,P01,22
2025,P01,P02002,P112,P01,113
2025,P01,P02002,P165,P01,54
2025,P01,P02003,P112,P01,23
2025,P01,P02003,P165,P01,7
2025,P01,P02004,P112,P01,5702
2025,P01,P02004,P165,P01,108
2025,P01,P02007,P165,P01,1
2025,P01,P03003,P112,P01,878
2025,P01,P03003,P165,P01,43
2025,P01,P03008,P112,P01,389
2025,P01,P03008,P165,P01,17
2025,P01,P04001,P165,P01,2
2025,P01,P04002,P112,P01,133
2025,P01,P04002,P165,P01,35
2025,P01,P04003,P112,P01,88
2025,P01,P04003,P165,P01,24
2025,P01,P04004,P112,P01,28
2025,P01,P04004,P165,P01,2
2025,P01,P04005,P165,P01,1
2025,P01,P04006,P165,P01,1
2025,P01,P04007,P165,P01,1
2025,P01,P04008,P165,P01,0
2025,P01,P04009,P112,P01,21
2025,P01,P04009,P165,P01,2
2025,P01,P04010,P112,P01,12
2025,P01,P04010,P165,P01,1
2025,P01,P04011,P112,P01,17
2025,P01,P04011,P165,P01,1
2025,P01,P04012,P112,P01,7
2025,P01,P04012,P165,P01,2
2025,P01,P04013,P165,P01,1
2025,P01,P05001,P112,P01,2
2025,P01,P05001,P165,P01,0
2025,P01,P05002,P112,P01,247
2025,P01,P05002,P165,P01,17
2025,P01,P05003,P165,P01,1
2025,P01,P05004,P112,P01,96
2025,P01,P05004,P165,P01,3
2025,P01,P05006,P112,P01,71
2025,P01,P05006,P165,P01,1
2025,P01,P05007,P165,P01,1
2025,P01,P05008,P112,P01,7
2025,P01,P05008,P165,P01,0
2025,P01,P05009,P112,P01,72
2025,P01,P05009,P165,P01,6
2025,P01,P05010,P112,P01,200
2025,P01,P05010,P165,P01,3
2025,P01,P05012,P165,P01,0
2025,P01,P05013,P165,P01,0
2025,P01,P05014,P112,P01,14
2025,P01,P05014,P165,P01,1
2025,P01,P05015,P165,P01,3
2025,P01,P05016,P165,P01,0
2025,P01,P05017,P112,P01,310
2025,P01,P05017,P165,P01,22
2025,P01,P05018,P112,P01,576
2025,P01,P05018,P165,P01,9
2025,P01,P05019,P165,P01,0
2025,P01,P05021,P165,P01,0
2025,P01,P05022,P165,P01,1
2025,P01,P05023,P165,P01,0
2025,P01,P05025,P165,P01,2
2025,P01,P05026,P165,P01,6
2025,P01,P05027,P112,P01,395
2025,P01,P05027,P165,P01,12
2025,P01,P05028,P165,P01,127
2025,P01,P05029,P165,P01,0
2025,P01,P05030,P112,P01,2843
2025,P01,P05030,P165,P01,83
2025,P01,P05031,P165,P01,1
2025,P01,P05032,P165,P01,83
2025,P01,P05033,P112,P01,123
2025,P01,P05033,P165,P01,10
2025,P01,P05034,P112,P01,8
2025,P01,P05034,P165,P01,1
2025,P01,P05035,P112,P01,1887
2025,P01,P05035,P165,P01,137
2025,P01,P05037,P165,P01,0
2025,P01,P05038,P165,P01,0
2025,P01,P06001,P165,P01,0
2025,P01,P06002,P112,P01,207
2025,P01,P06002,P165,P01,9
2025,P01,P06003,P112,P01,29
2025,P01,P06003,P165,P01,1
2025,P01,P06004,P112,P01,28
2025,P01,P06004,P165,P01,1
2025,P01,P06005,P112,P01,41
2025,P01,P06005,P165,P01,2
2025,P01,P06006,P165,P01,0
2025,P01,P06007,P112,P01,144
2025,P01,P06007,P165,P01,23
2025,P01,P06008,P112,P01,8
2025,P01,P06008,P165,P01,1
2025,P01,P06009,P165,P01,1
2025,P01,P06010,P112,P01,198
