C501,C502,R005-0401,R005-0402,R005-0403,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,C601,C602,C105,R004_0401,R004_0402,R004_0403,,,,,,,,
,,,,,,,2022,P04,P01,609,4253.97,370,,,,,,,,
,,,,,,,2022,P04,P02,3241,101648.04,1780,,,,,,,,
,,,,,,,2022,P04,P03,1188,91877.45,850,,,,,,,,
,,,,,,,2022,P04,P04,1780,212132.88,1569,,,,,,,,
,,,,,,,2022,P04,P05,46,7741.22,44,,,,,,,,
,,,,,,,2022,P04,P06,267,51267.34,223,,,,,,,,
,,,,,,,2022,P05,P01,504,3460.93,274,,,,,,,,
,,,,,,,2022,P05,P02,3260,104268.46,1694,,,,,,,,
,,,,,,,2022,P05,P03,1324,102792.6,901,,,,,,,,
,,,,,,,2022,P05,P04,1902,226938.98,1678,,,,,,,,
,,,,,,,2022,P05,P05,30,5051.62,23,,,,,,,,
,,,,,,,2022,P05,P06,261,49890.59,222,,,,,,,,
,,,,,,,2022,P06,P01,564,3913.48,303,,,2022,P06,P01,564,3913.48,303
,,,,,,,2022,P06,P02,2892,89552.96,1530,,,2022,P06,P02,2903,89876.24,1534
,,,,,,,2022,P06,P03,1123,86170.36,781,,,2022,P06,P03,1123,86170.36,781
,,,,,,,2022,P06,P04,1754,208174.34,1620,,,2022,P06,P04,1758,208691.58,1624
,,,,,,,2022,P06,P05,22,3689.58,21,,,2022,P06,P05,22,3689.58,21
,,,,,,,2022,P06,P06,241,46084.49,206,,,2022,P06,P06,242,46278.46,207
,,,,,,,2022,P07,P01,564,3973.82,314,,,,,,,,
,,,,,,,2022,P07,P02,3137,97020.6,1645,,,,,,,,
,,,,,,,2022,P07,P03,1182,90784.37,804,,,,,,,,
,,,,,,,2022,P07,P04,1934,230801.97,1728,,,,,,,,
,,,,,,,2022,P07,P05,28,4551.64,20,,,,,,,,
,,,,,,,2022,P07,P06,237,45906.88,208,,,,,,,,
,,,,,,,2022,P08,P01,566,3952.27,307,,,2022,P08,P01,4130,35600.6,3093
,,,,,,,2022,P08,P02,3156,99165.47,1746,,,2022,P08,P02,2643,88070.54,1656
,,,,,,,2022,P08,P03,1196,91664.56,811,,,2022,P08,P03,1669,127689.87,1090
,,,,,,,2022,P08,P04,2098,250657.11,1854,,,2022,P08,P04,562,72672.22,485
,,,,,,,2022,P08,P05,30,4880.95,26,,,2022,P08,P05,721,124307.61,645
,,,,,,,2022,P08,P06,250,48071.55,208,,,2022,P08,P08,3,0,2
