C501,C502,C401,R013-0101,R013-0102
2025,P01,P01,"2,964,000",0
2025,P01,P02,"8,576,700",0
2025,P01,P03,"6,990,600",0
2025,P01,P04,"3,801,900",0
2025,P01,P05,"5,743,500",0
