C601,C602,C306,C401,R025-0201,R025-0202,R025-0203,R025-0204
2024,1,No aplica,231 GBPS,No aplica,0.00,"2,691,497.00",No aplica
2024,2,No aplica,231 GBPS,No aplica,0.00,"2,541,838.00",No aplica
2024,3,No aplica,231 GBPS,No aplica,0.00,"3,075,422.00",No aplica
2024,4,No aplica,231 GBPS,No aplica,0.00,"2,525,258.00",No aplica
2024,5,No aplica,231 GBPS,No aplica,0.00,"2,439,131.00",No aplica
2024,6,No aplica,231 GBPS,No aplica,0.00,"4,451,080.00",No aplica
2024,7,No aplica,332.20 GBPS,No aplica,"322,422.27","4,199,758.73",No aplica
2024,8,No aplica,441 GBPS,No aplica,"544,480.20","2,554,648.80",No aplica
2024,9,No aplica,841 GBPS,No aplica,"1,340,528.17","130,116.83",No aplica
2024,10,No aplica,810 GBPS,No aplica,"7,516,906.81","579,510.19",No aplica
2024,11,No aplica,1045 GBPS,No aplica,"4,919,392.96","1,073,897.04",No aplica
2024,12,No aplica,1153 GBPS,No aplica,"4,885,323.12","797,502.88",No aplica
