C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,687,NA,NA,NA,892,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,715,NA,NA,NA,923,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,720,NA,NA,NA,927,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,724,NA,NA,NA,930,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,734,NA,NA,NA,944,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,724,NA,NA,NA,932,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,726,NA,NA,NA,935,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,719,NA,NA,NA,931,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,704,NA,NA,NA,915,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,699,NA,NA,NA,910,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,699,NA,NA,NA,906,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,702,NA,NA,NA,904,NA,NA,NA
