C601,C602,C101,R002-0501
2024,P01,P108,48
2024,P02,P108,47
2024,P03,P108,43
2024,P04,P108,45
2024,P05,P108,45
2024,P06,P108,44
2024,P07,P108,46
2024,P08,P108,40
2024,P09,P108,41
2024,P10,P108,40
2024,P11,P108,41
2024,P12,P108,42
2024,P01,P114,253
2024,P02,P114,255
2024,P03,P114,250
2024,P04,P114,251
2024,P05,P114,255
2024,P06,P114,252
2024,P07,P114,255
2024,P08,P114,252
2024,P09,P114,252
2024,P10,P114,251
2024,P11,P114,248
2024,P12,P114,244
2024,P01,P207,639
2024,P02,P207,668
2024,P03,P207,677
2024,P04,P207,679
2024,P05,P207,689
2024,P06,P207,680
2024,P07,P207,680
2024,P08,P207,679
2024,P09,P207,663
2024,P10,P207,659
2024,P11,P207,658
2024,P12,P207,660
