C601,C602,R002-0301,R002-0302
2024,P01,1660525,1606888
2024,P02,-163203,-216840
2024,P03,-276852,-330489
2024,P04,250776,197139
2024,P05,-249335,-302972
2024,P06,-75442,-129079
2024,P07,-5800,-59437
2024,P08,-299238,-352875
2024,P09,-510721,-564358
2024,P10,138335,84698
2024,P11,-592384,-646021
2024,P12,-1155337,-1208974
