C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,0,0,NA,NA,8896,556973,1350896,250000
2024,P02,51293,0,NA,NA,10072,527911,1350896,250000
2024,P03,0,0,NA,NA,12418,565103,1350896,250000
2024,P04,0,0,NA,NA,7573,567564,1350896,250000
2024,P05,70000,0,NA,NA,20126,573184,1350896,250000
2024,P06,0,0,NA,NA,25363,565057,1350896,250000
2024,P07,0,0,NA,NA,20822,578272,1350896,250000
2024,P08,70000,0,NA,NA,32016,587327,1350896,250000
2024,P09,0,0,NA,NA,52778,654835,1350896,250000
2024,P10,0,0,NA,NA,37861,618084,1350896,250000
2024,P11,130000,0,NA,NA,18622,564171,1350896,250000
2024,P12,0,600490,NA,NA,19091,905417,1350896,250000
