C601,C003,R027-0501,R027-0502,R027-0503,R027-0504,R027-0505,R027-0506
2024,P301540227,NA,NA,NA,NA,NA,NA
2024,P130280001,NA,NA,NA,NA,NA,NA
2024,P130320001,NA,NA,NA,NA,NA,NA
2024,P130420001,NA,NA,NA,NA,NA,NA
2024,P130460001,NA,NA,NA,NA,NA,NA
2024,P301550001,NA,NA,NA,NA,NA,NA
2024,P130730001,NA,NA,NA,NA,NA,NA
2024,P130810001,NA,NA,NA,NA,NA,NA
2024,P301230001,NA,NA,NA,NA,NA,NA
