C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,526,NA,NA,NA,1253,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,518,NA,NA,NA,1196,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,522,NA,NA,NA,1159,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,555,NA,NA,NA,1211,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,535,NA,NA,NA,1139,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,555,NA,NA,NA,1164,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,554,NA,NA,NA,1203,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,587,NA,NA,NA,1154,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,595,NA,NA,NA,1128,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,592,NA,NA,NA,1119,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,604,NA,NA,NA,1126,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,622,NA,NA,NA,1130,NA,NA,NA
