C601,C602,C101,R002-0501
2024,P01,P108,70
2024,P01,P114,797
2024,P01,P207,456
2024,P02,P108,76
2024,P02,P114,754
2024,P02,P207,442
2024,P03,P108,81
2024,P03,P114,718
2024,P03,P207,441
2024,P04,P108,89
2024,P04,P114,745
2024,P04,P207,466
2024,P05,P108,100
2024,P05,P114,704
2024,P05,P207,435
2024,P06,P108,102
2024,P06,P114,711
2024,P06,P207,453
2024,P07,P108,108
2024,P07,P114,757
2024,P07,P207,446
2024,P08,P108,128
2024,P08,P114,695
2024,P08,P207,459
2024,P09,P108,127
2024,P09,P114,660
2024,P09,P207,468
2024,P10,P108,135
2024,P10,P114,662
2024,P10,P207,457
2024,P11,P108,141
2024,P11,P114,663
2024,P11,P207,463
2024,P12,P108,150
2024,P12,P114,658
2024,P12,P207,449
