C601,C602,R014-0201,R014-0202,R014-0203,R014-0204
2022,1,43486.33,No aplica,No aplica,No aplica
2022,2,"24,018.13",No aplica,No aplica,No aplica
2022,3,551.72,No aplica,No aplica,No aplica
2022,4,49453.54,No aplica,No aplica,No aplica
2022,5,25435.41,No aplica,No aplica,No aplica
2022,6,25159.55,No aplica,No aplica,No aplica
2022,7,25159.55,No aplica,No aplica,No aplica
2022,8,25435.41,No aplica,No aplica,No aplica
2022,9,25435.41,No aplica,No aplica,No aplica
2022,10,27370.22,No aplica,No aplica,No aplica
2022,11,551.72,No aplica,No aplica,No aplica
2022,12,275.86,No aplica,No aplica,No aplica
