C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P010010001,SI,SI,NO,NO
2024,P010010096,SI,SI,NO,NO
2024,P010010106,SI,SI,NO,NO
2024,P010010120,SI,SI,NO,NO
2024,P010010162,SI,SI,NO,NO
2024,P010010197,SI,SI,NO,NO
2024,P010010212,SI,SI,NO,NO
2024,P010010226,SI,SI,NO,NO
2024,P010010230,SI,SI,NO,NO
2024,P010010256,SI,SI,NO,NO
2024,P010010270,SI,SI,NO,NO
2024,P010010291,SI,SI,NO,NO
2024,P010010297,SI,SI,NO,NO
2024,P010010309,SI,SI,NO,NO
2024,P010010315,SI,SI,NO,NO
2024,P010010345,SI,SI,NO,NO
2024,P010010353,SI,SI,NO,NO
2024,P010010370,SI,SI,NO,NO
2024,P010010379,SI,SI,NO,NO
2024,P010010387,SI,SI,NO,NO
2024,P010010401,SI,SI,NO,NO
2024,P010010421,SI,SI,NO,NO
2024,P010010426,SI,SI,NO,NO
2024,P010010456,SI,SI,NO,NO
2024,P010010476,SI,SI,NO,NO
2024,P010010514,SI,SI,NO,NO
2024,P010010519,SI,SI,NO,NO
2024,P010010531,SI,SI,NO,NO
2024,P010010583,SI,SI,NO,NO
2024,P010010587,SI,SI,NO,NO
2024,P010010590,SI,SI,NO,NO
2024,P010010593,SI,SI,NO,NO
2024,P010010651,SI,SI,NO,NO
2024,P010010652,SI,SI,NO,NO
2024,P010010657,SI,SI,NO,NO
2024,P010010665,SI,SI,NO,NO
2024,P010010726,SI,SI,NO,NO
2024,P010010732,SI,SI,NO,NO
2024,P010010769,SI,SI,NO,NO
2024,P010010772,SI,SI,NO,NO
2024,P010010782,SI,SI,NO,NO
2024,P010010863,SI,SI,NO,NO
2024,P010010876,SI,SI,NO,NO
2024,P010010885,SI,SI,NO,NO
2024,P010010920,SI,SI,NO,NO
2024,P010010967,SI,SI,NO,NO
2024,P010011000,SI,SI,NO,NO
2024,P010011025,SI,SI,NO,NO
2024,P010011043,SI,SI,NO,NO
2024,P010011051,SI,SI,NO,NO
2024,P010011054,SI,SI,NO,NO
2024,P010011103,SI,SI,NO,NO
2024,P010011104,SI,SI,NO,NO
2024,P010011127,SI,SI,NO,NO
2024,P010011150,SI,SI,NO,NO
2024,P010011159,SI,SI,NO,NO
2024,P010011180,SI,SI,NO,NO
2024,P010011187,SI,SI,NO,NO
2024,P010012010,SI,SI,NO,NO
2024,P010012030,SI,SI,NO,NO
2024,P010012031,SI,SI,NO,NO
2024,P010012054,SI,SI,NO,NO
2024,P010012063,SI,SI,NO,NO
2024,P010012065,SI,SI,NO,NO
2024,P010012069,SI,SI,NO,NO
2024,P010012071,SI,SI,NO,NO
2024,P010012078,SI,SI,NO,NO
2024,P010012081,SI,SI,NO,NO
2024,P010012083,SI,SI,NO,NO
2024,P010012088,SI,SI,NO,NO
2024,P010012094,SI,SI,NO,NO
2024,P010012100,SI,SI,NO,NO
2024,P010012109,SI,SI,NO,NO
2024,P010012119,SI,SI,NO,NO
2024,P010012120,SI,SI,NO,NO
2024,P010012122,SI,SI,NO,NO
2024,P010012132,SI,SI,NO,NO
2024,P010012146,SI,SI,NO,NO
2024,P010012151,SI,SI,NO,NO
2024,P010012155,SI,SI,NO,NO
2024,P010012163,SI,SI,NO,NO
2024,P010012164,SI,SI,NO,NO
2024,P010012177,SI,SI,NO,NO
2024,P010012199,SI,SI,NO,NO
2024,P010012209,SI,SI,NO,NO
2024,P010012214,SI,SI,NO,NO
2024,P010012215,SI,SI,NO,NO
2024,P010012232,SI,SI,NO,NO
2024,P010012243,SI,SI,NO,NO
2024,P010012257,SI,SI,NO,NO
2024,P010012260,SI,SI,NO,NO
2024,P010012263,SI,SI,NO,NO
2024,P010012264,SI,SI,NO,NO
2024,P010012276,SI,SI,NO,NO
2024,P010012283,SI,SI,NO,NO
2024,P010012285,SI,SI,NO,NO
2024,P010012301,SI,SI,NO,NO
2024,P010012308,SI,SI,NO,NO
2024,P010012313,SI,SI,NO,NO
2024,P010012318,SI,SI,NO,NO
2024,P010012328,SI,SI,NO,NO
2024,P010012368,SI,SI,NO,NO
2024,P010012371,SI,SI,NO,NO
2024,P010012382,SI,SI,NO,NO
2024,P010012388,SI,SI,NO,NO
2024,P010012390,SI,SI,NO,NO
2024,P010012426,SI,SI,NO,NO
2024,P010012427,SI,SI,NO,NO
2024,P010012428,SI,SI,NO,NO
2024,P010012448,SI,SI,NO,NO
2024,P010050001,SI,SI,NO,NO
2024,P010050023,SI,SI,NO,NO
2024,P010050041,SI,SI,NO,NO
2024,P010050050,SI,SI,NO,NO
2024,P010050093,SI,SI,NO,NO
2024,P010050101,SI,SI,NO,NO
2024,P010050102,SI,SI,NO,NO
2024,P010050105,SI,SI,NO,NO
2024,P010050112,SI,SI,NO,NO
2024,P010050113,SI,SI,NO,NO
2024,P010050118,SI,SI,NO,NO
2024,P010050121,SI,SI,NO,NO
2024,P010050124,SI,SI,NO,NO
2024,P010050174,SI,SI,NO,NO
2024,P010050182,SI,SI,NO,NO
2024,P010050186,SI,SI,NO,NO
2024,P010050207,SI,SI,NO,NO
2024,P010050223,SI,SI,NO,NO
2024,P010050234,SI,SI,NO,NO
2024,P010050238,SI,SI,NO,NO
2024,P010050241,SI,SI,NO,NO
2024,P010050243,SI,SI,NO,NO
2024,P010050245,SI,SI,NO,NO
2024,P010050278,SI,SI,NO,NO
2024,P010050295,SI,SI,NO,NO
2024,P010050302,SI,SI,NO,NO
2024,P010050306,SI,SI,NO,NO
2024,P010050311,SI,SI,NO,NO
2024,P010050316,SI,SI,NO,NO
2024,P010050318,SI,SI,NO,NO
2024,P010050321,SI,SI,NO,NO
2024,P010050328,SI,SI,NO,NO
2024,P010050329,SI,SI,NO,NO
2024,P010050336,SI,SI,NO,NO
2024,P010050337,SI,SI,NO,NO
2024,P010050388,SI,SI,NO,NO
2024,P010050390,SI,SI,NO,NO
2024,P010050391,SI,SI,NO,NO
2024,P010050424,SI,SI,NO,NO
2024,P010050426,SI,SI,NO,NO
2024,P010050427,SI,SI,NO,NO
2024,P010050433,SI,SI,NO,NO
2024,P010050436,SI,SI,NO,NO
2024,P010050446,SI,SI,NO,NO
2024,P010050447,SI,SI,NO,NO
2024,P010050450,SI,SI,NO,NO
2024,P010050454,SI,SI,NO,NO
2024,P010050461,SI,SI,NO,NO
2024,P010050464,SI,SI,NO,NO
2024,P010050465,SI,SI,NO,NO
2024,P010050468,SI,SI,NO,NO
2024,P010050470,SI,SI,NO,NO
2024,P010050472,SI,SI,NO,NO
2024,P010050481,SI,SI,NO,NO
2024,P010050491,SI,SI,NO,NO
2024,P010050492,SI,SI,NO,NO
2024,P010050493,SI,SI,NO,NO
2024,P010050495,SI,SI,NO,NO
2024,P010050496,SI,SI,NO,NO
2024,P010050497,SI,SI,NO,NO
2024,P010050502,SI,SI,NO,NO
2024,P010050507,SI,SI,NO,NO
2024,P010110001,SI,SI,NO,NO
2024,P010110009,SI,SI,NO,NO
2024,P010110019,SI,SI,NO,NO
2024,P010110028,SI,SI,NO,NO
2024,P010110030,SI,SI,NO,NO
2024,P010110032,SI,SI,NO,NO
2024,P010110033,SI,SI,NO,NO
2024,P010110049,SI,SI,NO,NO
2024,P010110051,SI,SI,NO,NO
2024,P010110052,SI,SI,NO,NO
2024,P010110059,SI,SI,NO,NO
2024,P010110062,SI,SI,NO,NO
2024,P010110074,SI,SI,NO,NO
2024,P010110075,SI,SI,NO,NO
2024,P010110076,SI,SI,NO,NO
2024,P010110080,SI,SI,NO,NO
2024,P010110082,SI,SI,NO,NO
2024,P010110106,SI,SI,NO,NO
2024,P010110112,SI,SI,NO,NO
2024,P010110123,SI,SI,NO,NO
2024,P010110128,SI,SI,NO,NO
2024,P010110139,SI,SI,NO,NO
2024,P010110142,SI,SI,NO,NO
2024,P010110145,SI,SI,NO,NO
2024,P020020001,SI,SI,NO,NO
2024,P020020588,SI,SI,NO,NO
2024,P020021291,SI,SI,NO,NO
2024,P020021664,SI,SI,NO,NO
2024,P020021798,SI,SI,NO,NO
2024,P020021844,SI,SI,NO,NO
2024,P020023140,SI,SI,NO,NO
2024,P020024824,SI,SI,NO,NO
2024,P020024864,SI,SI,NO,NO
2024,P020040001,SI,SI,NO,NO
2024,P020040218,SI,SI,NO,NO
2024,P020040300,SI,SI,NO,NO
2024,P020040498,SI,SI,NO,NO
2024,P020040661,SI,SI,NO,NO
2024,P020040667,SI,SI,NO,NO
2024,P020040721,SI,SI,NO,NO
2024,P020040732,SI,SI,NO,NO
2024,P020040797,SI,SI,NO,NO
2024,P020040800,SI,SI,NO,NO
2024,P020041060,SI,SI,NO,NO
2024,P020041141,SI,SI,NO,NO
2024,P020041200,SI,SI,NO,NO
2024,P020041225,SI,SI,NO,NO
2024,P020041238,SI,SI,NO,NO
2024,P020041240,SI,SI,NO,NO
2024,P020041245,SI,SI,NO,NO
2024,P020041268,SI,SI,NO,NO
2024,P020041300,SI,SI,NO,NO
2024,P020041323,SI,SI,NO,NO
2024,P020041333,SI,SI,NO,NO
2024,P020041409,SI,SI,NO,NO
2024,P020041436,SI,SI,NO,NO
2024,P020041477,SI,SI,NO,NO
2024,P020041518,SI,SI,NO,NO
2024,P020041525,SI,SI,NO,NO
2024,P020041541,SI,SI,NO,NO
2024,P020041554,SI,SI,NO,NO
2024,P020041555,SI,SI,NO,NO
2024,P020041568,SI,SI,NO,NO
2024,P020041572,SI,SI,NO,NO
2024,P020041620,SI,SI,NO,NO
2024,P020041739,SI,SI,NO,NO
2024,P020041745,SI,SI,NO,NO
2024,P020041783,SI,SI,NO,NO
2024,P020041920,SI,SI,NO,NO
2024,P020041930,SI,SI,NO,NO
2024,P020041945,SI,SI,NO,NO
2024,P020041954,SI,SI,NO,NO
2024,P020041956,SI,SI,NO,NO
2024,P020041957,SI,SI,NO,NO
2024,P020041969,SI,SI,NO,NO
2024,P020041987,SI,SI,NO,NO
