C501,C502,C103,R011-0201,R011-0202,,,,,,,,
2025,P02,P02,2111,1333,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,C103,Esquema de pago
,,,,,,,,,,,P01,Prepago
,,,,,,,,,,,P02,Pospago 
