C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,44409,2176029,NA,NA,NA,NA,0,0
2024,P02,NA,40344,1976839,NA,NA,NA,NA,0,0
2024,P03,NA,37898,1857020,NA,NA,NA,NA,0,0
2024,P04,NA,42172,2066427,NA,NA,NA,NA,0,0
2024,P05,NA,42286,2072037,NA,NA,NA,NA,0,0
2024,P06,NA,39511,1936031,NA,NA,NA,NA,0,0
2024,P07,NA,43178,2115701,NA,NA,NA,NA,0,0
2024,P08,NA,40937,2005891,NA,NA,NA,NA,0,0
2024,P09,NA,42460,2080517,NA,NA,NA,NA,0,0
2024,P10,NA,44146,2163174,NA,NA,NA,NA,0,0
2024,P11,NA,43576,2135230,NA,NA,NA,NA,0,0
2024,P12,NA,49125,2407131,NA,NA,NA,NA,0,0
