C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,N/A,N/A, 297 ,N/A,N/A,N/A,N/A, 56 ,N/A,N/A,N/A,N/A,N/A
2024,P02,N/A,N/A, 155 ,N/A,N/A,N/A,N/A, 11 ,N/A,N/A,N/A,N/A,N/A
2024,P03,N/A,N/A, 109 ,N/A,N/A,N/A,N/A, 25 ,N/A,N/A,N/A,N/A,N/A
2024,P04,N/A,N/A, 136 ,N/A,N/A,N/A,N/A, 29 ,N/A,N/A,N/A,N/A,N/A
2024,P05,N/A,N/A, 160 ,N/A,N/A,N/A,N/A, 12 ,N/A,N/A,N/A,N/A,N/A
2024,P06,N/A,N/A, 110 ,N/A,N/A,N/A,N/A, 6 ,N/A,N/A,N/A,N/A,N/A
2024,P07,N/A,N/A, 84 ,N/A,N/A,N/A,N/A, 15 ,N/A,N/A,N/A,N/A,N/A
2024,P08,N/A,N/A, 103 ,N/A,N/A,N/A,N/A, 9 ,N/A,N/A,N/A,N/A,N/A
2024,P09,N/A,N/A, 93 ,N/A,N/A,N/A,N/A, 3 ,N/A,N/A,N/A,N/A,N/A
2024,P10,N/A,N/A, 113 ,N/A,N/A,N/A,N/A, 15 ,N/A,N/A,N/A,N/A,N/A
2024,P11,N/A,N/A, 58 ,N/A,N/A,N/A,N/A, 4 ,N/A,N/A,N/A,N/A,N/A
2024,P12,N/A,N/A," 7,619 ",N/A,N/A,N/A,N/A, 308 ,N/A,N/A,N/A,N/A,N/A
