C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2023,P01,14,NA,NA,NA,NA,846,NA,NA,NA,NA,122,NA,NA
2023,P02,13,NA,NA,NA,NA,848,NA,NA,NA,NA,117,NA,NA
2023,P03,15,NA,NA,NA,NA,854,NA,NA,NA,NA,130,NA,NA
2023,P04,17,NA,NA,NA,NA,861,NA,NA,NA,NA,134,NA,NA
2023,P05,16,NA,NA,NA,NA,866,NA,NA,NA,NA,118,NA,NA
2023,P06,16,NA,NA,NA,NA,877,NA,NA,NA,NA,120,NA,NA
2023,P07,15,NA,NA,NA,NA,893,NA,NA,NA,NA,123,NA,NA
2023,P08,18,NA,NA,NA,NA,903,NA,NA,NA,NA,124,NA,NA
2023,P09,18,NA,NA,NA,NA,915,NA,NA,NA,NA,128,NA,NA
2023,P10,12,NA,NA,NA,NA,924,NA,NA,NA,NA,122,NA,NA
2023,P11,12,NA,NA,NA,NA,934,NA,NA,NA,NA,125,NA,NA
2023,P12,13,NA,NA,NA,NA,938,NA,NA,NA,NA,116,NA,NA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
