C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2023,P01,13284.63,233266.11,550554.19,NA,0,1625441.24,NA,1860229.10
2023,P02,10200.43,266094.78,570725.27,NA,0,1804879.84,NA,1020917.08
2023,P03,6950.43,233014.43,659737.72,NA,0,2098299.38,NA,1006051.69
2023,P04,22217.21,410515.44,590729.89,NA,0,1769256.02,NA,1244423.43
2023,P05,55499.43,353709.17,720964.81,NA,0,1566232.02,NA,1238265.44
2023,P06,30579.43,364931.13,691002.16,NA,12578.40,1849472.45,NA,1109050.62
2023,P07,33446.75,296072.43,836477.27,NA,491850,1452312.04,NA,1177135.92
2023,P08,29998.47,371374.77,679018.26,NA,217527.85,1857325.47,NA,1500537.37
2023,P09,34510.97,441124.86,534025.95,NA,64177.71,1400276.87,NA,1141370.14
2023,P10,6950.43,562419.03,576603.24,NA,43785.51,1653266.89,NA,3092810.67
2023,P11,53668.43,303699.11,532224.44,NA,75858.53,1442769.88,NA,1392663.04
2023,P12,39683.76,214150.11,551013.83,NA,73368.97,2179855.26,NA,1222899.47
