C601,C602,R002-0301,R002-0302,
2023,P01,-941618.65,-1261135.35,
2023,P02,-412500.36,-742709.1,
2023,P03,-919920.29,-1250129.03,
2023,P04,-989927.67,-1319724.16,
2023,P05,-782891.68,-1112485.67,
2023,P06,1065020.87,735361.7,
2023,P07,-1218159.39,-1547818.56,
2023,P08,-1585159.75,-1914818.92,
2023,P09,-460058.62,-799609.52,
2023,P10,-2848612.31,-3188163.21,
2023,P11,-503954.36,-843505.26,
2023,P12,-940670.39,-1280221.29,
