C601,C602,C101,R002-0501
2023,P01,P101,14
2023,P01,P108,846
2023,P01,P115,122
2023,P02,P101,13
2023,P02,P108,848
2023,P02,P115,117
2023,P03,P101,15
2023,P03,P108,854
2023,P03,P115,130
2023,P04,P101,17
2023,P04,P108,861
2023,P04,P115,134
2023,P05,P101,16
2023,P05,P108,866
2023,P05,P115,118
2023,P06,P101,16
2023,P06,P108,877
2023,P06,P115,120
2023,P07,P101,15
2023,P07,P108,903
2023,P07,P115,115
2023,P08,P101,18
2023,P08,P108,903
2023,P08,P115,124
2023,P09,P101,18
2023,P09,P108,915
2023,P09,P115,128
2023,P10,P101,12
2023,P10,P108,924
2023,P10,P115,128
2023,P11,P101,12
2023,P11,P108,108
2023,P11,P115,125
2023,P12,P101,13
2023,P12,P108,938
2023,P12,P115,116
