C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,NA,2815.68,NA,NA,NA,4022.4,1678.01,292.63
2024,P02,NA,2805.6,NA,NA,NA,4008,1672,291.58
2024,P03,NA,2798.88,NA,NA,NA,3998.4,1668,290.88
2024,P04,NA,2802.24,NA,NA,NA,4003.2,1670,291.23
2024,P05,NA,2795.52,NA,NA,NA,3993.6,1666,290.53
2024,P06,NA,2792.16,NA,NA,NA,3988.8,1663.99,290.19
2024,P07,NA,2788.8,NA,NA,NA,3984,1661.99,289.84
2024,P08,NA,2795.52,NA,NA,NA,3993.6,1666,290.53
2024,P09,NA,2792.16,NA,NA,NA,3988.8,1663.99,290.19
2024,P10,NA,2795.52,NA,NA,NA,3993.6,1666,290.53
2024,P11,NA,2802.24,NA,NA,NA,4003.2,1670,291.23
2024,P12,NA,2815.68,NA,NA,NA,4022.4,1678.01,292.63
