C601,C602,C002,C102,C205,C309,R005-0201
2024,P12,P02005,P02,P001,P01,713
2024,P12,P02005,P02,P001,P03,107
2024,P12,P02005,P02,P003,P01,14
2024,P12,P02005,P02,P003,P03,2454
2024,P12,P26055,P01,P001,P01,484
2024,P12,P26055,P01,P001,P03,252
2024,P12,P26055,P01,P003,P01,287
2024,P12,P26055,P01,P003,P03,13227
2024,P12,P26055,P02,P001,P01,513
2024,P12,P26055,P02,P001,P03,183
2024,P12,P26055,P02,P003,P01,72
2024,P12,P26055,P02,P003,P03,3669
2024,P12,P26070,P01,P001,P01,35
2024,P12,P26070,P01,P001,P03,13
2024,P12,P26070,P01,P003,P03,1282
2024,P12,P26070,P02,P001,P01,40
2024,P12,P26070,P02,P001,P03,6
2024,P12,P26070,P02,P003,P01,7
2024,P12,P26070,P02,P003,P03,283
