C601,C602,C101,C102,C103,R004-0101
2024,P10,P101,P01,P02,9761
2024,P10,P101,P02,P02,38285
2024,P10,P108,P01,P02,166403
2024,P10,P108,P02,P02,9180
2024,P10,P115,P02,P02,148
2024,P10,P201,P01,P02,291587
2024,P10,P201,P02,P02,78399
2024,P11,P101,P01,P02,9609
2024,P11,P101,P02,P02,38170
2024,P11,P108,P01,P02,168474
2024,P11,P108,P02,P02,9337
2024,P11,P115,P02,P02,146
2024,P11,P201,P01,P02,292348
2024,P11,P201,P02,P02,78557
2024,P12,P101,P01,P02,9413
2024,P12,P101,P02,P02,38129
2024,P12,P108,P01,P02,171028
2024,P12,P108,P02,P02,9518
2024,P12,P115,P02,P02,148
2024,P12,P201,P01,P02,293191
2024,P12,P201,P02,P02,78600
