C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P020030139,SI,SI,NA,NO
2024,P020030146,SI,NO,NA,NO
2024,P020030155,SI,SI,NA,SI
2024,P020030211,SI,SI,NA,NO
2024,P020030340,SI,SI,NA,NO
2024,P020030992,SI,SI,NA,NO
2024,P020031013,SI,SI,NA,NO
2024,P020031569,SI,SI,NA,NO
2024,P020031570,SI,SI,NA,NO
2024,P020031573,SI,SI,NA,NO
2024,P020031601,SI,NO,NA,NO
2024,P020031603,SI,NO,NA,NO
2024,P020040001,SI,SI,NA,SI
2024,P020040187,SI,SI,NA,NO
2024,P020040283,SI,SI,NA,NO
2024,P020040298,SI,SI,NA,NO
2024,P020040381,SI,SI,NA,NO
2024,P020040537,SI,SI,NA,NO
2024,P020040606,SI,SI,NA,NO
2024,P020040678,SI,SI,NA,NO
2024,P020040679,SI,SI,NA,NO
2024,P020040720,SI,SI,NA,NO
2024,P020040723,SI,SI,NA,NO
2024,P020040725,SI,SI,NA,NO
2024,P020041053,SI,NO,NA,NO
2024,P020041060,SI,SI,NA,NO
2024,P020041114,SI,NO,NA,NO
2024,P020041348,SI,NO,NA,NO
2024,P020041349,SI,NO,NA,NO
2024,P020041351,SI,NO,NA,NO
2024,P020041367,SI,NO,NA,NO
2024,P020041421,SI,SI,NA,NO
2024,P020041532,SI,NO,NA,NO
2024,P020041581,SI,NO,NA,NO
2024,P020041599,SI,SI,NA,NO
2024,P020041614,SI,NO,NA,NO
2024,P020041615,SI,SI,NA,NO
2024,P020041616,SI,NO,NA,NO
2024,P020041622,SI,NO,NA,NO
2024,P020041624,SI,NO,NA,NO
2024,P020041755,SI,NO,NA,NO
2024,P020041756,SI,NO,NA,NO
2024,P020041757,SI,NO,NA,NO
2024,P020041773,SI,NO,NA,NO
2024,P020041774,SI,NO,NA,NO
2024,P020041778,SI,NO,NA,NO
2024,P020041781,SI,NO,NA,NO
2024,P020041801,SI,NO,NA,NO
2024,P020041813,SI,NO,NA,NO
2024,P020041856,SI,NO,NA,NO
2024,P020041861,SI,NO,NA,NO
2024,P020041881,SI,SI,NA,NO
2024,P020041883,SI,SI,NA,NO
2024,P020041892,SI,NO,NA,NO
2024,P020041897,SI,NO,NA,NO
2024,P020041902,SI,NO,NA,NO
2024,P020041903,SI,NO,NA,NO
