C601,C602,C002,R008-0301,R008-0302,R008-0303
2024,P10,P02001,150967,1052,0
2024,P10,P02002,29910,209,0
2024,P10,P02003,21231,148,0
2024,P10,P02004,342072,2385,54
2024,P10,P02005,5300,37,0
2024,P10,P26055,2399,17,0
2024,P10,P26070,876,6,0
2024,P11,P02001,107449,235,3
2024,P11,P02002,31347,70,1
2024,P11,P02003,3871,8,0
2024,P11,P02004,322392,705,0
2024,P11,P02005,5663,12,0
2024,P11,P26055,2499,5,0
2024,P11,P26070,792,2,0
2024,P12,P02001,68983,397,0
2024,P12,P02002,28262,163,1
2024,P12,P02003,2947,17,0
2024,P12,P02004,287821,1658,12
2024,P12,P02005,4549,26,0
2024,P12,P26055,2073,12,0
2024,P12,P26070,509,3,0
