C601,C602,C102,C002,C205,C309,R010-0201
2024,P10,P01,P02001,P001,P09,8529
2024,P10,P01,P02001,P003,P11,60307
2024,P10,P01,P02002,P001,P09,11694
2024,P10,P01,P02002,P003,P11,116381
2024,P10,P01,P02003,P001,P09,92
2024,P10,P01,P02003,P003,P11,13059
2024,P10,P01,P02004,P001,P09,7456
2024,P10,P01,P02004,P003,P11,199776
2024,P10,P01,P02005,P001,P09,978
2024,P10,P01,P02005,P003,P11,14717
2024,P10,P01,P26055,P001,P09,956
2024,P10,P01,P26055,P003,P11,21148
2024,P10,P01,P26070,P001,P09,62
2024,P10,P01,P26070,P003,P11,2835
2024,P10,P02,P02001,P001,P09,1685
2024,P10,P02,P02001,P003,P11,11383
2024,P10,P02,P02002,P001,P09,2660
2024,P10,P02,P02002,P003,P11,20379
2024,P10,P02,P02003,P001,P09,48
2024,P10,P02,P02003,P003,P11,2553
2024,P10,P02,P02004,P001,P09,2670
2024,P10,P02,P02004,P003,P11,38590
2024,P10,P02,P02005,P001,P09,174
2024,P10,P02,P02005,P003,P11,2658
2024,P10,P02,P26055,P001,P09,182
2024,P10,P02,P26055,P003,P11,4219
2024,P10,P02,P26070,P001,P09,19
2024,P10,P02,P26070,P003,P11,359
2024,P11,P01,P02001,P001,P09,8451
2024,P11,P01,P02001,P003,P11,60968
2024,P11,P01,P02002,P001,P09,11441
2024,P11,P01,P02002,P003,P11,117419
2024,P11,P01,P02003,P001,P09,93
2024,P11,P01,P02003,P003,P11,13171
2024,P11,P01,P02004,P001,P09,7315
2024,P11,P01,P02004,P003,P11,200857
2024,P11,P01,P02005,P001,P09,970
2024,P11,P01,P02005,P003,P11,14952
2024,P11,P01,P26055,P001,P09,936
2024,P11,P01,P26055,P003,P11,21348
2024,P11,P01,P26070,P001,P09,58
2024,P11,P01,P26070,P003,P11,2843
2024,P11,P02,P02001,P001,P09,1648
2024,P11,P02,P02001,P003,P11,11495
2024,P11,P02,P02002,P001,P09,2572
2024,P11,P02,P02002,P003,P11,20498
2024,P11,P02,P02003,P001,P09,38
2024,P11,P02,P02003,P003,P11,2574
2024,P11,P02,P02004,P001,P09,2600
2024,P11,P02,P02004,P003,P11,38827
2024,P11,P02,P02005,P001,P09,169
2024,P11,P02,P02005,P003,P11,2682
2024,P11,P02,P26055,P001,P09,167
2024,P11,P02,P26055,P003,P11,4244
2024,P11,P02,P26070,P001,P09,18
2024,P11,P02,P26070,P003,P11,362
2024,P12,P01,P02001,P001,P09,8271
2024,P12,P01,P02001,P003,P11,61667
2024,P12,P01,P02002,P001,P09,11281
2024,P12,P01,P02002,P003,P11,118539
2024,P12,P01,P02003,P001,P09,91
2024,P12,P01,P02003,P003,P11,13291
2024,P12,P01,P02004,P001,P09,7095
2024,P12,P01,P02004,P003,P11,202490
2024,P12,P01,P02005,P001,P09,943
2024,P12,P01,P02005,P003,P11,15175
2024,P12,P01,P26055,P001,P09,917
2024,P12,P01,P26055,P003,P11,21579
2024,P12,P01,P26070,P001,P09,55
2024,P12,P01,P26070,P003,P11,2825
2024,P12,P02,P02001,P001,P09,1613
2024,P12,P02,P02001,P003,P11,11589
2024,P12,P02,P02002,P001,P09,2521
2024,P12,P02,P02002,P003,P11,20606
2024,P12,P02,P02003,P001,P09,35
2024,P12,P02,P02003,P003,P11,2581
2024,P12,P02,P02004,P001,P09,2505
2024,P12,P02,P02004,P003,P11,39024
2024,P12,P02,P02005,P001,P09,164
2024,P12,P02,P02005,P003,P11,2696
2024,P12,P02,P26055,P001,P09,158
2024,P12,P02,P26055,P003,P11,4249
2024,P12,P02,P26070,P001,P09,16
2024,P12,P02,P26070,P003,P11,361
