C601,C003,R027-0201,R027-0202,R027-0203,R027-0204,R027-0205
2024,P020010001,SI,NA,NA,SI,NA
2024,P020010046,NO,NA,NA,SI,NA
2024,P020010060,SI,NA,NA,SI,NA
2024,P020010095,SI,NA,NA,SI,NA
2024,P020010114,SI,NA,NA,SI,NA
2024,P020010118,NO,NA,NA,SI,NA
2024,P020010124,NO,NA,NA,SI,NA
2024,P020010133,NO,NA,NA,SI,NA
2024,P020010139,SI,NA,NA,SI,NA
2024,P020010151,SI,NA,NA,SI,NA
2024,P020010152,NO,NA,NA,SI,NA
2024,P020010170,NO,NA,NA,SI,NA
2024,P020010184,NO,NA,NA,SI,NA
2024,P020010186,SI,NA,NA,SI,NA
2024,P020010190,NO,NA,NA,SI,NA
2024,P020010198,SI,NA,NA,SI,NA
2024,P020010200,SI,NA,NA,SI,NA
2024,P020010243,SI,NA,NA,SI,NA
2024,P020010247,SI,NA,NA,SI,NA
2024,P020010267,SI,NA,NA,SI,NA
2024,P020010268,SI,NA,NA,SI,NA
2024,P020010271,SI,NA,NA,SI,NA
2024,P020010329,SI,NA,NA,SI,NA
2024,P020010339,NO,NA,NA,SI,NA
2024,P020010491,NO,NA,NA,SI,NA
2024,P020010492,NO,NA,NA,SI,NA
2024,P020010520,NO,NA,NA,SI,NA
2024,P020010598,NO,NA,NA,SI,NA
2024,P020010617,NO,NA,NA,SI,NA
2024,P020010660,NO,NA,NA,SI,NA
2024,P020010685,SI,NA,NA,SI,NA
2024,P020010720,NO,NA,NA,SI,NA
2024,P020010783,NO,NA,NA,SI,NA
2024,P020010838,NO,NA,NA,SI,NA
2024,P020010857,SI,NA,NA,SI,NA
2024,P020010892,NO,NA,NA,SI,NA
2024,P020010935,NO,NA,NA,SI,NA
2024,P020010942,NO,NA,NA,SI,NA
2024,P020011001,NO,NA,NA,SI,NA
2024,P020011002,SI,NA,NA,SI,NA
2024,P020011025,SI,NA,NA,SI,NA
2024,P020011037,SI,NA,NA,SI,NA
2024,P020011065,NO,NA,NA,SI,NA
2024,P020011107,NO,NA,NA,SI,NA
2024,P020011148,NO,NA,NA,SI,NA
2024,P020011561,NO,NA,NA,SI,NA
2024,P020011699,NO,NA,NA,SI,NA
2024,P020011729,NO,NA,NA,SI,NA
2024,P020011843,NO,NA,NA,SI,NA
2024,P020011896,NO,NA,NA,SI,NA
2024,P020012151,NO,NA,NA,SI,NA
2024,P020012157,NO,NA,NA,SI,NA
2024,P020012183,SI,NA,NA,SI,NA
2024,P020012224,SI,NA,NA,SI,NA
2024,P020012364,NO,NA,NA,SI,NA
2024,P020012378,NO,NA,NA,SI,NA
2024,P020013173,SI,NA,NA,SI,NA
2024,P020013178,NO,NA,NA,SI,NA
2024,P020013197,SI,NA,NA,SI,NA
2024,P020013261,NO,NA,NA,SI,NA
2024,P020013344,NO,NA,NA,SI,NA
2024,P020013368,NO,NA,NA,SI,NA
2024,P020013370,NO,NA,NA,SI,NA
2024,P020013381,NO,NA,NA,SI,NA
2024,P020014444,NO,NA,NA,SI,NA
2024,P020014445,NO,NA,NA,SI,NA
2024,P020014635,NO,NA,NA,SI,NA
2024,P020014715,NO,NA,NA,SI,NA
2024,P020020001,SI,NA,NA,SI,NA
2024,P020020110,SI,NA,NA,SI,NA
2024,P020020111,SI,NA,NA,SI,NA
2024,P020020124,NO,NA,NA,SI,NA
2024,P020020127,NO,NA,NA,SI,NA
2024,P020020143,NO,NA,NA,SI,NA
2024,P020020152,NO,NA,NA,SI,NA
2024,P020020157,SI,NA,NA,SI,NA
2024,P020020158,SI,NA,NA,SI,NA
2024,P020020159,SI,NA,NA,SI,NA
2024,P020020161,SI,NA,NA,SI,NA
2024,P020020166,NO,NA,NA,SI,NA
2024,P020020167,SI,NA,NA,SI,NA
2024,P020020169,SI,NA,NA,SI,NA
2024,P020020183,SI,NA,NA,SI,NA
2024,P020020185,SI,NA,NA,SI,NA
2024,P020020186,SI,NA,NA,SI,NA
2024,P020020189,NO,NA,NA,SI,NA
2024,P020020192,SI,NA,NA,SI,NA
2024,P020020195,NO,NA,NA,SI,NA
2024,P020020201,SI,NA,NA,SI,NA
2024,P020020202,SI,NA,NA,SI,NA
2024,P020020204,NO,NA,NA,SI,NA
2024,P020020206,NO,NA,NA,SI,NA
2024,P020020211,NO,NA,NA,SI,NA
2024,P020020212,SI,NA,NA,SI,NA
2024,P020020223,NO,NA,NA,SI,NA
2024,P020020225,SI,NA,NA,SI,NA
2024,P020020227,SI,NA,NA,SI,NA
2024,P020020229,SI,NA,NA,SI,NA
2024,P020020231,SI,NA,NA,SI,NA
2024,P020020234,NO,NA,NA,SI,NA
2024,P020020237,SI,NA,NA,SI,NA
2024,P020020241,NO,NA,NA,SI,NA
2024,P020020242,SI,NA,NA,SI,NA
2024,P020020248,NO,NA,NA,SI,NA
2024,P020020251,NO,NA,NA,SI,NA
2024,P020020253,NO,NA,NA,SI,NA
2024,P020020256,NO,NA,NA,SI,NA
2024,P020020257,NO,NA,NA,SI,NA
2024,P020020258,NO,NA,NA,SI,NA
