C601,C602,C101,C001,R004-0601,R004-0602,R004-0603,R004-0604,R004-0605,R004-0606,R004-0607,R004-0608,R004-0609,R004-0610,R004-0611,R004-0612,R004-0613,R004-0614
2024,P10,P201,P02,8,0,NA,NA,NA,NA,0,8,0,0,0,0,8,117.43
2024,P11,P201,P02,3,0,NA,NA,NA,NA,0,3,0,0,0,0,3,48.47
2024,P12,P201,P02,2,0,NA,NA,NA,NA,0,2,0,0,0,0,2,51.45
