C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2021,P01,NA,NA,NA,NA,NA,20940,0,NA,NA,0,6,NA,NA
2021,P02,NA,NA,NA,NA,NA,22092,0,NA,NA,0,6,NA,NA
2021,P03,NA,NA,NA,NA,NA,23087,0,NA,NA,0,7,NA,NA
2021,P04,NA,NA,NA,NA,NA,23625,0,NA,NA,0,8,NA,NA
2021,P05,NA,NA,NA,NA,NA,24344,0,NA,NA,0,8,NA,NA
2021,P06,NA,NA,NA,NA,NA,25077,0,NA,NA,0,8,NA,NA
2021,P07,NA,NA,NA,NA,NA,25781,0,NA,NA,0,8,NA,NA
2021,P08,NA,NA,NA,NA,NA,26257,0,NA,NA,0,8,NA,NA
2021,P09,NA,NA,NA,NA,NA,26779,0,NA,NA,0,8,NA,NA
2021,P10,NA,NA,NA,NA,NA,27652,0,NA,NA,0,8,NA,NA
2021,P11,NA,NA,NA,NA,NA,27075,0,NA,NA,0,8,NA,NA
2021,P12,NA,NA,NA,NA,NA,27183,0,NA,NA,0,8,NA,NA
