C601,C602,C003,C006,C101,C102,C103,R001-0501
2024,P10,XXX,XXX,P101                                                                                                ,P02                                                                                                 ,P02,16466
2024,P10,XXX,XXX,P108                                                                                                ,P02                                                                                                 ,P02,21485
2024,P10,XXX,XXX,P201                                                                                                ,P02                                                                                                 ,P02,90
2024,P10,XXX,XXX,XXX                                                                                                 ,P02                                                                                                 ,P02,210
2024,P10,XXX,XXX,XXX                                                                                                 ,XXX                                                                                                 ,P02,965
2024,P10,XXX,XXX,ZZZ                                                                                                 ,P02                                                                                                 ,P02,52278
2024,P11,XXX,XXX,P101                                                                                                ,P02                                                                                                 ,P02,16316
2024,P11,XXX,XXX,P108                                                                                                ,P02                                                                                                 ,P02,21605
2024,P11,XXX,XXX,P201                                                                                                ,P02                                                                                                 ,P02,83
2024,P11,XXX,XXX,XXX                                                                                                 ,P02                                                                                                 ,P02,206
2024,P11,XXX,XXX,XXX                                                                                                 ,XXX                                                                                                 ,P02,973
2024,P11,XXX,XXX,ZZZ                                                                                                 ,P02                                                                                                 ,P02,52335
2024,P12,XXX,XXX,P101                                                                                                ,P02                                                                                                 ,P02,16043
2024,P12,XXX,XXX,P108                                                                                                ,P02                                                                                                 ,P02,21682
2024,P12,XXX,XXX,P201                                                                                                ,P02                                                                                                 ,P02,90
2024,P12,XXX,XXX,XXX                                                                                                 ,P02                                                                                                 ,P02,202
2024,P12,XXX,XXX,XXX                                                                                                 ,XXX                                                                                                 ,P02,981
2024,P12,XXX,XXX,ZZZ                                                                                                 ,P02                                                                                                 ,P02,52632
