C601,C602,R025-0401,R025-0402,R025-0403,R025-0404,R025-0405,R025-0406,R025-0407,R025-0408,R025-0409,R025-0410,R025-0411,R025-0412,R025-0413,R025-0414,R025-0415,R025-0416,R025-0417
2024,P10,0,0,0,409,7318,1270,2681,1491,726,4239,13667,2525,460,0,0,0,0
2024,P11,0,0,0,407,7331,1365,2800,1569,737,4184,13512,2503,460,0,0,0,0
2024,P12,0,0,0,405,7317,1540,3096,1737,776,4109,13198,2474,481,0,0,0,0
