C601,C602,R025-0101,R025-0102,R025-0103,R025-0104,R025-0105,R025-0106,R025-0107,R025-0108,R025-0109,R025-0110,R025-0111,R025-0112,R025-0113,R025-0114,R025-0115
2024,P10,0,164801.2,4789439.3341916,120181.14,306078.09,431910.15,52295.7690586,4537,461943.73,1220432.14,4034235.5213342,0,0,0,0
2024,P11,0,168027.82,4937987.928532,39055.5,347809.34,98146.23,131343.766297,4537,442872.75,1147030.14,3403543.87656,0,0,0,0
2024,P12,0,157743.64,4704261.2785916,42839.5,284558.5,105641.75,190261.4473111,4537,432270.49,1188230.14,3775787.622528,0,0,0,0
