C501,C502,C001,C101,C102,R001-0301
2025,P01,P22005,P108,P01,6
2025,P01,P22006,P101,P01,2
2025,P01,P22006,P108,P01,108
2025,P01,P22008,P108,P01,1
2025,P01,P22011,P101,P01,458
2025,P01,P22011,P108,P01,7963
2025,P01,P22014,P101,P01,43
2025,P01,P22014,P108,P01,775
2025,P01,P22016,P108,P01,62
2025,P01,P22017,P108,P01,1
2025,P01,P22014,P101,P02,56
2025,P01,P22014,P108,P02,96
2025,P01,P22014,P115,P02,174
2025,P01,P31050,P101,P02,1
2025,P01,P31050,P108,P02,50
2025,P01,P31050,P115,P02,132
2025,P01,P23011,P115,P02,3
