C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,1,909089.78,NA,"1,694,410.86",NA,NA,"707,577.22",NA,NA
2024,2,774397.15,NA,"1,406,795.81",NA,NA,"1,027,060.05",NA,NA
2024,3,2331895.21,NA,"916,451.65",NA,NA,"765,337.86",NA,NA
2024,4,356710.11,NA,"819,694.50",NA,NA,"909,311.05",NA,NA
2024,5,17241.38,NA,"779,217.34",NA,NA,"793,673.32",NA,NA
2024,6,1139559.96,NA,"839,611.00",NA,NA,"999,158.81",NA,NA
2024,7,11309.4,NA,"782,092.15",NA,NA,"929,824.98",NA,NA
2024,8,1662037.18,NA,"926,693.72",NA,NA,"1,167,007.17",NA,NA
2024,9,1499818.68,NA,"603,741.79",NA,NA,"910,108.25",NA,NA
2024,10,611854.13,NA,"336,813.06",NA,NA,"1,047,658.36",NA,NA
2024,11,379099.71,NA,"277,584.67",NA,NA,"960,233.98",NA,NA
2024,12,288460.95,NA,"153,625.46",NA,NA,"1,321,789.33",NA,NA
