C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,-191000.00,0.00,0,0,51000.00,2441000.00,22000.00,205000.00
2024,P02,1000.00,0.00,0,0,63000.00,2178000.00,0.00,337000.00
2024,P03,0.00,0.00,0,0,56000.00,2239000.00,0.00,272000.00
2024,P04,40000.00,0.00,0,0,227000.00,2127000.00,0.00,397000.00
2024,P05,0.00,0.00,0,0,129000.00,2289000.00,0.00,314000.00
2024,P06,3000.00,0.00,0,0,117000.00,1999000.00,0.00,322000.00
2024,P07,0.00,0.00,0,0,142000.00,2477000.00,0.00,635000.00
2024,P08,-40000.00,0.00,0,0,105000.00,2500000.00,0.00,380000.00
2024,P09,10000.00,0.00,0,0,120000.00,-15370000.00,0.00,604000.00
2024,P10,-1000.00,0.00,0,0,114000.00,458000.00,0.00,496000.00
2024,P11,-130000.00,0.00,0,0,321000.00,682000.00,0.00,739000.00
2024,P12,98000.00,0.00,0,0,402000.00,808000.00,38000.00,563000.00
