C601,C602,R002-0301,R002-0302
2024,P01,239909,224214
2024,P02,290863,274399
2024,P03,285539,266859
2024,P04,274818,259263
2024,P05,290076,273657
2024,P06,243029,227130
2024,P07,200056,188732
2024,P08,262037,244894
2024,P09,247359,233357
2024,P10,247058,230896
2024,P11,245385,229332
2024,P12,221164,208645
,,,
