C601,C602,R002-0301,R002-0302
2024,P01,"$96,108.76","$96,108.76"
2024,P02,"$27,685.77","$27,685.77"
2024,P03,"$78,411.43","$78,411.43"
2024,P04,"$77,146.93","$77,146.93"
2024,P05,"$70,185.50","$70,185.50"
2024,P06,"$52,867.82","$52,867.82"
2024,P07,"$48,426.52","$48,426.52"
2024,P08,"$70,669.96","$70,669.96"
2024,P09,"$75,673.13","$75,673.13"
2024,P10,"$74,934.20","$74,934.20"
2024,P11,"$82,982.48","$82,982.48"
2024,P12,"$93,298.11","$93,298.11"
