C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P070200114,No,Si,No,No
2024,P050090000,No,Si,No,No
2024,P050140129,No,Si,No,No
2024,P050180005,No,Si,No,No
2024,P050230017,No,Si,No,No
2024,P050060018,No,Si,No,No
2024,P050100427,No,Si,No,No
2024,P050161435,No,Si,No,No
2024,P050180447,No,Si,No,No
2024,P050230453,No,Si,No,No
2024,P050250716,No,Si,No,No
2024,P050290447,No,Si,No,No
2024,P050300247,No,Si,No,No
2024,P070091374,No,Si,No,No
2024,P070230039,No,Si,No,No
2024,P070240006,No,Si,No,No
2024,P070240009,No,Si,No,No
2024,P050140020,No,Si,No,No
2024,P050140859,No,Si,No,No
2024,P050180484,No,Si,No,No
2024,P050211382,No,Si,No,No
2024,P070240001,No,Si,No,No
2024,P070240007,No,Si,No,No
2024,P070351829,No,Si,No,No
2024,P070370001,No,Si,No,No
2024,P070240030,No,Si,No,No
2024,P070240031,No,Si,No,No
2024,P070310819,No,Si,No,No
2024,P070320068,No,Si,No,No
2024,P070321524,No,Si,No,No
2024,P070520112,No,Si,No,No
2024,P070520127,No,Si,No,No
2024,P070520150,No,Si,No,No
2024,P050220783,No,Si,No,No
2024,P050230104,No,Si,No,No
2024,P050240027,No,Si,No,No
2024,P050240034,No,Si,No,No
2024,P050340058,No,Si,No,No
2024,P050360040,No,Si,No,No
2024,P060070012,No,Si,No,No
2024,P070230405,No,Si,No,No
2024,P070520562,No,Si,No,No
2024,P070576904,No,Si,No,No
2024,P070591385,No,Si,No,No
2024,P070740542,No,Si,No,No
2024,P050240038,No,Si,No,No
2024,P050300020,No,Si,No,No
2024,P050300127,No,Si,No,No
2024,P050300175,No,Si,No,No
2024,P050341394,No,Si,No,No
2024,P050350296,No,Si,No,No
2024,P050360032,No,Si,No,No
2024,P059999999,No,Si,No,No
2024,P060070341,No,Si,No,No
2024,P060080001,No,Si,No,No
2024,P060090096,No,Si,No,No
2024,P070020002,No,Si,No,No
2024,P070150035,No,Si,No,No
2024,P070200541,No,Si,No,No
2024,P070240005,No,Si,No,No
2024,P070400254,No,Si,No,No
2024,P070510055,No,Si,No,No
2024,P070571914,No,Si,No,No
2024,P070590800,No,Si,No,No
2024,P070590827,No,Si,No,No
2024,P070650001,No,Si,No,No
2024,P070690023,No,Si,No,No
2024,P070700001,No,Si,No,No
2024,P070740027,No,Si,No,No
2024,P070782554,No,Si,No,No
2024,P070870002,No,Si,No,No
2024,P070910001,No,Si,No,No
2024,P071000016,No,Si,No,No
2024,P070240008,No,Si,No,No
2024,P070290001,No,Si,No,No
2024,P070310962,No,Si,No,No
2024,P070410001,No,Si,No,No
2024,P071061246,No,Si,No,No
2024,P071090002,No,Si,No,No
2024,P071150031,No,Si,No,No
2024,P071160001,No,Si,No,No
2024,P070410039,No,Si,No,No
2024,P070470737,No,Si,No,No
2024,P070511473,No,Si,No,No
2024,P070520040,No,Si,No,No
2024,P050180455,No,Si,No,No
2024,P050180531,No,Si,No,No
2024,P050240079,No,Si,No,No
2024,P050240091,No,Si,No,No
2024,P080110087,No,Si,No,No
2024,P080120001,No,Si,No,No
2024,P080290481,No,Si,No,No
2024,P080371102,No,Si,No,No
2024,P070590204,No,Si,No,No
2024,P070640005,No,Si,No,No
2024,P070690510,No,Si,No,No
2024,P070691058,No,Si,No,No
2024,P070520049,No,Si,No,No
2024,P070590013,No,Si,No,No
2024,P070590431,No,Si,No,No
2024,P070620615,No,Si,No,No
2024,P080371128,No,Si,No,No
2024,P080373030,No,Si,No,No
2024,P080521349,No,Si,No,No
2024,P080540001,No,Si,No,No
2024,P070890179,No,Si,No,No
2024,P070890200,No,Si,No,No
2024,P070891032,No,Si,No,No
2024,P070923803,No,Si,No,No
2024,P050240098,No,Si,No,No
2024,P050250767,No,Si,No,No
2024,P050251731,No,Si,No,No
2024,P050270621,No,Si,No,No
2024,P050300236,No,Si,No,No
2024,P050330217,No,Si,No,No
2024,P060020004,No,Si,No,No
2024,P060020652,No,Si,No,No
2024,P070990114,No,Si,No,No
2024,P070990817,No,Si,No,No
2024,P071010132,No,Si,No,No
2024,P071140020,No,Si,No,No
2024,P080100013,No,Si,No,No
2024,P080111971,No,Si,No,No
2024,P080180001,No,Si,No,No
2024,P080190016,No,Si,No,No
2024,P080192509,No,Si,No,No
2024,P080215558,No,Si,No,No
2024,P080370001,No,Si,No,No
2024,P080370051,No,Si,No,No
2024,P080524153,No,Si,No,No
2024,P080620001,No,Si,No,No
2024,P090020001,No,Si,No,No
2024,P090030566,No,Si,No,No
2024,P060070002,No,Si,No,No
2024,P070030006,No,Si,No,No
2024,P070150003,No,Si,No,No
2024,P070190001,No,Si,No,No
2024,P090030673,No,Si,No,No
2024,P090030674,No,Si,No,No
2024,P090040792,No,Si,No,No
2024,P090050001,No,Si,No,No
2024,P070990316,No,Si,No,No
2024,P071010125,No,Si,No,No
2024,P071010222,No,Si,No,No
2024,P071010271,No,Si,No,No
2024,P071142684,No,Si,No,No
