C601,C602,C306,C401,R015-0101,R015-0102,R015-0103,R015-0104
2021,P07,P03,P01,23738404.92,0,0,0
2021,P07,P03,P02,3138798.89,0,0,0
2021,P07,P03,P03,4023640.349,0,0,0
2021,P07,P03,P04,12709849.64,0,0,0
2021,P07,P03,P05,2262422.32,0,0,0
2021,P07,P03,P06,1062500,0,0,0
2021,P07,P03,NA,600,0,0,0
2021,P08,P03,P01,23732504.92,0,0,0
2021,P08,P03,P02,3244950.06,0,0,0
2021,P08,P03,P03,4023564.519,0,0,0
2021,P08,P03,P04,12755335.98,0,0,0
2021,P08,P03,P05,2232022.32,0,0,0
2021,P08,P03,P06,1062500,0,0,0
2021,P08,P03,NA,600,0,0,0
2021,P09,P03,P01,23503976.76,0,0,0
2021,P09,P03,P02,3319070.03,0,0,0
2021,P09,P03,P03,3990136.519,0,0,0
2021,P09,P03,P04,12813689.98,0,0,0
2021,P09,P03,P05,2134481.32,0,0,0
2021,P09,P03,P06,1062500,0,0,0
2021,P09,P03,NA,600,0,0,0
