C601,C602,C306,C401,R015-0301,R015-0302,R015-0303,R015-0304
2021,P07,P03,P01,228,0,0,0
2021,P07,P03,P02,580,0,0,0
2021,P07,P03,P03,590,0,0,0
2021,P07,P03,P04,2301,0,0,0
2021,P07,P03,P05,167,0,0,0
2021,P07,P03,P06,58,0,0,0
2021,P08,P03,P01,189,0,0,0
2021,P08,P03,P02,560,0,0,0
2021,P08,P03,P03,667,0,0,0
2021,P08,P03,P04,2285,0,0,0
2021,P08,P03,P05,162,0,0,0
2021,P08,P03,P06,58,0,0,0
2021,P09,P03,P01,258,0,0,0
2021,P09,P03,P02,569,0,0,0
2021,P09,P03,P03,703,0,0,0
2021,P09,P03,P04,2291,0,0,0
2021,P09,P03,P05,163,0,0,0
2021,P09,P03,P06,58,0,0,0
