C601,C602,C101,R002-0501
2024,P01,P114,2685
2024,P01,P108,375
2024,P01,P207,2303
2024,P02,P114,2480
2024,P02,P108,326
2024,P02,P207,2356
2024,P03,P114,2298
2024,P03,P108,436
2024,P03,P207,2476
2024,P04,P114,2356
2024,P04,P108,428
2024,P04,P207,2425
2024,P05,P114,2399
2024,P05,P108,425
2024,P05,P207,2398
2024,P06,P114,2489
2024,P06,P108,413
2024,P06,P207,2337
2024,P07,P114,2480
2024,P07,P108,423
2024,P07,P207,2356
2024,P08,P114,2467
2024,P08,P108,432
2024,P08,P207,2472
2024,P09,P114,2483
2024,P09,P108,421
2024,P09,P207,2387
2024,P10,P114,2399
2024,P10,P108,420
2024,P10,P207,2389
2024,P11,P114,2443
2024,P11,P108,451
2024,P11,P207,2355
2024,P12,P114,2369
2024,P12,P108,420
2024,P12,P207,2422
