C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,0,686809.87,1622324.89,NA,19108.39,480846.2,0,1889912.85
2024,P02,0,0,1057075.19,NA,126441.96,491056.85,0,1323072.88
2024,P03,0,0,1366157.51,NA,17644.79,600969.02,0,1482392.51
2024,P04,0,0,1099707.23,NA,0,561804.64,0,552059.64
2024,P05,0,0,1796765.49,NA,53222.01,558863.52,0,1413436.51
2024,P06,0,0,1180693.05,NA,18256.08,528538.03,0,1046848.77
2024,P07,0,0,1078872.42,NA,1976.11,509186.99,0,1451963.53
2024,P08,0,0,1031662.4,NA,14841.98,480696.26,0,1152608.56
2024,P09,0,0,1510891.14,NA,46152.7,513152.74,0,1115918.47
2024,P10,0,0,1265120.93,NA,0,448879.98,0,1382404.97
2024,P11,0,0,1145310.57,NA,32528.17,440363.26,0,1605398.13
2024,P12,0,0,1221070.22,NA,55611.49,644139.28,0,3515407.17
