C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2023,P01,NA,NA,NA,NA,NA,2678,NA,NA,NA,4988,0,NA,0
2023,P02,NA,NA,NA,NA,NA,2682,NA,NA,NA,4836,0,NA,0
2023,P03,NA,NA,NA,NA,NA,2912,NA,NA,NA,4774,0,NA,0
2023,P04,NA,NA,NA,NA,NA,2853,NA,NA,NA,4781,0,NA,0
2023,P05,NA,NA,NA,NA,NA,2823,NA,NA,NA,4797,0,NA,0
2023,P06,NA,NA,NA,NA,NA,2750,NA,NA,NA,4826,0,NA,0
2023,P07,NA,NA,NA,NA,NA,2779,NA,NA,NA,4836,0,NA,0
2023,P08,NA,NA,NA,NA,NA,2904,NA,NA,NA,4939,0,NA,0
2023,P09,NA,NA,NA,NA,NA,2808,NA,NA,NA,4870,0,NA,0
2023,P10,NA,NA,NA,NA,NA,2809,NA,NA,NA,4788,0,NA,0
2023,P11,NA,NA,NA,NA,NA,2806,NA,NA,NA,4798,0,NA,0
2023,P12,NA,NA,NA,NA,NA,2842,NA,NA,NA,4791,0,NA,0
