C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,0,NA,863328,NA,0,280199,NA,378249.37
2024,P02,0,NA,908102,NA,0,392444,NA,269793.66
2024,P03,300,NA,849315,NA,0,302678,NA,255538.76
2024,P04,0,NA,855949,NA,0,354273,NA,235394.17
2024,P05,0,NA,853026,NA,0,294813,NA,260897.94
2024,P06,0,NA,795239,NA,0,357611,NA,190850.05
2024,P07,0,NA,340626,NA,0,303873,NA,288732.37
2024,P08,517,NA,338806,NA,0,361712,NA,266347.89
2024,P09,0,NA,333310,NA,0,284744,NA,382089.56
2024,P10,0,NA,616178,NA,0,356121,NA,233520.6
2024,P11,0,NA,393051,NA,0,286994,NA,393583.22
2024,P12,0,NA,390608,NA,0,487185,NA,292705.83
