C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,NA,NA,NA,NA,4797,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,NA,NA,NA,NA,4717,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4667,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4610,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4550,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4420,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4360,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,NA,NA,NA,NA,4300,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,NA,NA,NA,NA,4266,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,NA,NA,NA,NA,4233,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,NA,NA,NA,NA,4167,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4057,NA,NA,NA
