C601,C602,C101,R002-0501
2024,P01,P108,299
2024,P02,P108,313
2024,P03,P108,314
2024,P04,P108,311
2024,P05,P108,317
2024,P06,P108,320
2024,P07,P108,320
2024,P08,P108,320
2024,P09,P108,320
2024,P10,P108,306
2024,P11,P108,310
2024,P12,P108,321
,,,
2024,P01,P114,464
2024,P02,P114,468
2024,P03,P114,430
2024,P04,P114,409
2024,P05,P114,414
2024,P06,P114,407
2024,P07,P114,407
2024,P08,P114,407
2024,P09,P114,407
2024,P10,P114,377
2024,P11,P114,378
2024,P12,P114,374
,,,
2024,P01,P207,435
2024,P02,P207,420
2024,P03,P207,382
2024,P04,P207,368
2024,P05,P207,356
2024,P06,P207,353
2024,P07,P207,353
2024,P08,P207,353
2024,P09,P207,353
2024,P10,P207,322
2024,P11,P207,321
2024,P12,P207,326
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
